Rank,Team,Matches played,Win,Draw,Loss,Goals Scored,Goals Conceded,Goal Difference,Points,Expected Goals Scored,Expected Goals Conceded,Expected Goal Difference,Expected Points
1,Chelsea,38,30,3,5,85,33,52,93,61.8,28.6,33.2,75.7
2,Tottenham,38,26,8,4,86,26,60,86,70,33.8,36.2,75.4
3,Manchester City,38,23,9,6,80,39,41,78,79.9,29.6,50.3,85.4
4,Liverpool,38,22,10,6,78,42,36,76,66.6,37.7,28.9,69.8
5,Arsenal,38,23,6,9,77,44,33,75,63.6,47.1,16.5,62.1
6,Manchester United,38,18,15,5,54,29,25,69,57.6,31.6,26,70.9
7,Everton,38,17,10,11,62,44,18,61,49.6,45.8,3.8,55.8
8,Southampton,38,12,10,16,41,48,-7,46,50,43.1,6.9,55.7
9,Bournemouth,38,12,10,16,55,67,-12,46,50,63,-13,43.2
10,West Brom,38,12,9,17,43,51,-8,45,38.2,47.9,-9.7,45.6
11,West Ham,38,12,9,17,47,64,-17,45,48.3,59.7,-11.4,46
12,Leicester City,38,12,8,18,48,63,-15,44,44.3,51.3,-7,48.1
13,Stoke,38,11,11,16,41,56,-15,44,47.9,48.7,-0.8,52.3
14,Crystal Palace,38,12,5,21,50,63,-13,41,45.4,50,-4.6,48.5
15,Swansea,38,12,5,21,45,70,-25,41,39.5,65.1,-25.6,36.5
16,Burnley,38,11,7,20,39,55,-16,40,35.6,55.3,-19.7,38.4
17,Watford,38,11,7,20,40,68,-28,40,36.3,52.6,-16.3,40.6
18,Hull,38,9,7,22,37,80,-43,34,33.8,71.8,-38,30.7
19,Middlesbrough,38,5,13,20,27,53,-26,28,30.9,55.3,-24.4,37.3
20,Sunderland,38,6,6,26,29,69,-40,24,34.2,65.7,-31.5,32.2
