Rank,Team,Matches played,Win,Draw,Loss,Goals Scored,Goals Conceded,Goal Difference,Points,Expected Goals Scored,Expected Goals Conceded,Expected Goal Difference,Expected Points
1,Manchester City,38,27,5,6,83,32,51,86,68.2,30.2,38,83.4
2,Manchester United,38,21,11,6,73,44,29,74,60.1,41.4,18.6,65.6
3,Liverpool,38,20,9,9,68,42,26,69,67.5,43,24.5,68.8
4,Chelsea,38,19,10,9,58,36,22,67,62.4,30.3,32.1,77.4
5,Leicester City,38,20,6,12,68,50,18,66,55.8,46,9.8,59.8
6,West Ham,38,19,8,11,62,47,15,65,55.4,48.7,6.7,59.2
7,Tottenham,38,18,8,12,68,45,23,62,53.1,49.1,4,54
8,Arsenal,38,18,7,13,55,39,16,61,51.7,43,8.8,58.7
9,Leeds,38,18,5,15,62,54,8,59,55.6,57.9,-2.2,51.8
10,Everton,38,17,8,13,47,48,-1,59,45.7,50.1,-4.5,50.7
11,Aston Villa,38,16,7,15,55,46,9,55,52.5,51.1,1.4,54.1
12,Newcastle ,38,12,9,17,46,62,-16,45,43.4,58.3,-14.9,42.7
13,Wolves,38,12,9,17,36,52,-16,45,36.5,49.5,-13,44.3
14,Crystal Palace,38,12,8,18,41,66,-25,44,34.1,58.2,-24.2,38
15,Southampton,38,12,7,19,47,68,-21,43,41.2,53.1,-11.8,44.2
16,Brighton,38,9,14,15,40,46,-6,41,50.9,35.3,15.6,61.4
17,Burnley,38,10,9,19,33,55,-22,39,39.3,54.7,-15.4,38.1
18,Fulham,38,5,13,20,27,53,-26,28,40.5,52.6,-12.1,42.4
19,West Brom,38,5,11,22,35,76,-41,26,35.8,67.9,-32,29.6
20,Sheffield United,38,7,2,29,20,63,-43,23,32.6,62.2,-29.6,29.9
